params,mean_test_score,std_test_score,dataset,norm_type,colour
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.1, 'optim__momentum': 0.0})",0.4639775235801726,0.01672299149588572,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.018660823350927957, 'optim__momentum': 0.12409829164845014})",0.46297411198073446,0.009595049639078397,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 29, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.00030785590359397053, 'optim__momentum': 0.7649974872865359})",0.46036524182219546,0.006339782861300934,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.005184029607291801, 'optim__momentum': 0.047713115029855285})",0.4565522777443307,0.025563178268402324,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.021691126100538676, 'optim__momentum': 0.0})",0.4511338551073651,0.01822345749106399,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 24, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.01086841549890779, 'optim__momentum': 0.8375056735432814})",0.43387517559702987,0.014501988171896173,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 27, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.004247433106322224, 'optim__momentum': 0.3676936290360493})",0.432269717037929,0.012348079520702522,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0001, 'optim__momentum': 0.99})",0.43106562311860325,0.00897029766752037,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 26, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0001, 'optim__momentum': 0.99})",0.42584788280152513,0.016902646348982996,mammals,32,
"OrderedDict({'batch_size': 16, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.0006898597336625877, 'optim__momentum': 0.8413107156018608})",0.3987557696166968,0.0011352306340542686,mammals,32,
"OrderedDict({'batch_size': 16, 'epochs': 23, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.03712210580130133, 'optim__momentum': 0.4433635845515093})",0.3849086895444511,0.010078169399550235,mammals,32,
"OrderedDict({'batch_size': 8, 'epochs': 17, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.000525648155412293, 'optim__momentum': 0.1313821189598853})",0.3780854906682721,0.012809129758966847,mammals,32,
"OrderedDict({'batch_size': 8, 'epochs': 21, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.08743167287239448, 'optim__momentum': 0.12678796975105544})",0.36002408187838647,0.04725972765030792,mammals,32,
"OrderedDict({'batch_size': 8, 'epochs': 14, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.016944524387171356, 'optim__momentum': 0.7268590983454469})",0.35039133052378085,0.016821440569693653,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 9, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0005765154025647296, 'optim__momentum': 0.015746879498767036})",0.34196267308850087,0.01620688349152717,mammals,32,
"OrderedDict({'batch_size': 8, 'epochs': 4, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0010626275611872397, 'optim__momentum': 0.6356538645144051})",0.26851294400963277,0.008738326733725571,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.0001, 'optim__momentum': 0.99})",0.2502508528998595,0.0041225443676849,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 27, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.004247433106322224, 'optim__momentum': 0.3676936290360493})",0.2486453943407585,0.0091039905456261,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 24, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.01086841549890779, 'optim__momentum': 0.8375056735432814})",0.2428256070640176,0.0084763042672859,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 26, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.0001, 'optim__momentum': 0.99})",0.24262492474413,0.0088482471142077,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 29, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.00030785590359397053, 'optim__momentum': 0.7649974872865359})",0.2406181015452538,0.0198482829324954,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.1, 'optim__momentum': 0.99})",0.2378085490668272,0.0152861450070576,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 25, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.0001, 'optim__momentum': 0.0})",0.2249648805940196,0.0133208322498704,mammals,32,
"OrderedDict({'batch_size': 8, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.0001, 'optim__momentum': 0.99})",0.2197471402769416,0.01357835025008,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.1, 'optim__momentum': 0.0})",0.213726670680313,0.0115597197061325,mammals,32,
"OrderedDict({'batch_size': 8, 'epochs': 21, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.08743167287239448, 'optim__momentum': 0.12678796975105544})",0.1944611679711017,0.0116222614774796,mammals,32,
"OrderedDict({'batch_size': 16, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.0006898597336625877, 'optim__momentum': 0.8413107156018608})",0.1426851294400963,0.0086409994547906,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 9, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0005765154025647296, 'optim__momentum': 0.015746879498767036})",0.1424844471202087,0.0074604175378049,mammals,32,
"OrderedDict({'batch_size': 8, 'epochs': 17, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.000525648155412293, 'optim__momentum': 0.1313821189598853})",0.1178005217740317,0.0226566695202154,mammals,32,
"OrderedDict({'batch_size': 8, 'epochs': 14, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.016944524387171356, 'optim__momentum': 0.7268590983454469})",0.1115793698575155,0.0030035379384097,mammals,32,
"OrderedDict({'batch_size': 16, 'epochs': 23, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.03712210580130133, 'optim__momentum': 0.4433635845515093})",0.1109773228978527,0.0223614501740864,mammals,32,
"OrderedDict({'batch_size': 8, 'epochs': 4, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0010626275611872397, 'optim__momentum': 0.6356538645144051})",0.0535821794099939,0.0017028459510813,mammals,32,
"OrderedDict({'batch_size': 4, 'epochs': 24, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.01086841549890779, 'optim__momentum': 0.8375056735432814})",0.1611479028697572,0.0082597293306267,mammals,32,6.0
"OrderedDict({'batch_size': 4, 'epochs': 16, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.1, 'optim__momentum': 0.99})",0.1597431266305438,0.005436972580431,mammals,32,6.0
"OrderedDict({'batch_size': 4, 'epochs': 27, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.004247433106322224, 'optim__momentum': 0.3676936290360493})",0.1573349387918924,0.0061854445143176,mammals,32,6.0
"OrderedDict({'batch_size': 4, 'epochs': 20, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.0953325184912689, 'optim__momentum': 0.6480793345054673})",0.1571342564720048,0.0062759364925193,mammals,32,6.0
"OrderedDict({'batch_size': 8, 'epochs': 21, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.08743167287239448, 'optim__momentum': 0.12678796975105544})",0.1569335741521171,0.00102328306514,mammals,32,6.0
"OrderedDict({'batch_size': 8, 'epochs': 30, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.1, 'optim__momentum': 0.0})",0.1521171984748144,0.0019866536095949,mammals,32,6.0
"OrderedDict({'batch_size': 8, 'epochs': 24, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.0001, 'optim__momentum': 0.0})",0.1491069636765001,0.0023230658042926,mammals,32,6.0
"OrderedDict({'batch_size': 4, 'epochs': 29, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.00030785590359397053, 'optim__momentum': 0.7649974872865359})",0.1460967288781858,0.0094852918307015,mammals,32,6.0
"OrderedDict({'batch_size': 8, 'epochs': 17, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.000525648155412293, 'optim__momentum': 0.1313821189598853})",0.1085691350592013,0.0163651479332732,mammals,32,6.0
"OrderedDict({'batch_size': 16, 'epochs': 30, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.0006898597336625877, 'optim__momentum': 0.8413107156018608})",0.1063616295404374,0.0219304552018834,mammals,32,6.0
"OrderedDict({'batch_size': 8, 'epochs': 14, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.016944524387171356, 'optim__momentum': 0.7268590983454469})",0.1031507124222356,0.0105008833650019,mammals,32,6.0
"OrderedDict({'batch_size': 4, 'epochs': 9, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0005765154025647296, 'optim__momentum': 0.015746879498767036})",0.0891029500301023,0.0246324774779997,mammals,32,6.0
"OrderedDict({'batch_size': 16, 'epochs': 23, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.03712210580130133, 'optim__momentum': 0.4433635845515093})",0.0887015853903271,0.0103268555731636,mammals,32,6.0
"OrderedDict({'batch_size': 4, 'epochs': 2, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.1, 'optim__momentum': 0.041500342741821954})",0.0632149307645996,0.0086129896583884,mammals,32,6.0
"OrderedDict({'batch_size': 8, 'epochs': 4, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0010626275611872397, 'optim__momentum': 0.6356538645144051})",0.0600040136463977,0.0100421400788254,mammals,32,6.0
"OrderedDict({'batch_size': 16, 'epochs': 2, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.00014232176307810146, 'optim__momentum': 0.9153181651578238})",0.0541842263696568,0.0034409849888585,mammals,32,6.0
"OrderedDict({'batch_size': 4, 'epochs': 27, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.004247433106322224, 'optim__momentum': 0.3676936290360493})",0.5763955252166855,0.0249921254065376,stl10,32,
"OrderedDict({'batch_size': 8, 'epochs': 26, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.0001, 'optim__momentum': 0.0})",0.5668002053850935,0.0030271823523145,stl10,32,
"OrderedDict({'batch_size': 4, 'epochs': 24, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.01086841549890779, 'optim__momentum': 0.8375056735432814})",0.5615960841445156,0.0155600088121443,stl10,32,
"OrderedDict({'batch_size': 8, 'epochs': 27, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.1, 'optim__momentum': 0.0})",0.5542046452654247,0.022872030216763,stl10,32,
"OrderedDict({'batch_size': 4, 'epochs': 23, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.0001, 'optim__momentum': 0.99})",0.5509967634324275,0.0167595387356668,stl10,32,
"OrderedDict({'batch_size': 8, 'epochs': 21, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.08743167287239448, 'optim__momentum': 0.12678796975105544})",0.5434015237768772,0.0149628121365316,stl10,32,
"OrderedDict({'batch_size': 8, 'epochs': 17, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.000525648155412293, 'optim__momentum': 0.1313821189598853})",0.5421984030564836,0.0146049744679232,stl10,32,
"OrderedDict({'batch_size': 8, 'epochs': 25, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.00010398568469211781, 'optim__momentum': 0.0})",0.534199882712533,0.0073586928765814,stl10,32,
"OrderedDict({'batch_size': 8, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.0001, 'optim__momentum': 0.99})",0.5338006828406228,0.0129616169868813,stl10,32,
"OrderedDict({'batch_size': 4, 'epochs': 29, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.00030785590359397053, 'optim__momentum': 0.7649974872865359})",0.5298016027046691,0.0442018045428028,stl10,32,
"OrderedDict({'batch_size': 16, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.0006898597336625877, 'optim__momentum': 0.8413107156018608})",0.5256032827048035,0.027322465752023,stl10,32,
"OrderedDict({'batch_size': 16, 'epochs': 23, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.03712210580130133, 'optim__momentum': 0.4433635845515093})",0.5243983616241937,0.0199611489855587,stl10,32,
"OrderedDict({'batch_size': 8, 'epochs': 14, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.016944524387171356, 'optim__momentum': 0.7268590983454469})",0.5154028017925826,0.0101480824561169,stl10,32,
"OrderedDict({'batch_size': 4, 'epochs': 17, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.1, 'optim__momentum': 0.0})",0.5146016414964305,0.0313984151180098,stl10,32,
"OrderedDict({'batch_size': 4, 'epochs': 9, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0005765154025647296, 'optim__momentum': 0.015746879498767036})",0.4687944763988378,0.0264762018581935,stl10,32,
"OrderedDict({'batch_size': 8, 'epochs': 4, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0010626275611872397, 'optim__momentum': 0.6356538645144051})",0.4187995534146472,0.0042245519063414,stl10,32,
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.1, 'optim__momentum': 0.0})",0.4394044360395628,0.0232349526103283,stl10,32,
"OrderedDict({'batch_size': 4, 'epochs': 29, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.00030785590359397053, 'optim__momentum': 0.7649974872865359})",0.4380015953591994,0.0083246406343105,stl10,32,
"OrderedDict({'batch_size': 4, 'epochs': 27, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.004247433106322224, 'optim__momentum': 0.3676936290360493})",0.4376004751030586,0.0174688462337785,stl10,32,
"OrderedDict({'batch_size': 4, 'epochs': 24, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.01086841549890779, 'optim__momentum': 0.8375056735432814})",0.4161980329024231,0.0108489942060647,stl10,32,
"OrderedDict({'batch_size': 8, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.1, 'optim__momentum': 0.9420944979767918})",0.4112014331827511,0.0055256869765155,stl10,32,
"OrderedDict({'batch_size': 4, 'epochs': 28, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.1, 'optim__momentum': 0.0})",0.4022003522464774,0.0060080903710967,stl10,32,
"OrderedDict({'batch_size': 4, 'epochs': 16, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.1, 'optim__momentum': 0.99})",0.3710001097019491,0.0054017422147401,stl10,32,
"OrderedDict({'batch_size': 8, 'epochs': 21, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.08743167287239448, 'optim__momentum': 0.12678796975105544})",0.3704044305184581,0.0161469046705842,stl10,32,
"OrderedDict({'batch_size': 16, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.0006898597336625877, 'optim__momentum': 0.8413107156018608})",0.3420012276056193,0.0143847993740226,stl10,32,
"OrderedDict({'batch_size': 16, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.0751584472756035, 'optim__momentum': 0.02176038871892466})",0.3333977862290687,0.0192918478383368,stl10,32,
"OrderedDict({'batch_size': 8, 'epochs': 17, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.000525648155412293, 'optim__momentum': 0.1313821189598853})",0.3232076273820866,0.0300350129961423,stl10,32,
"OrderedDict({'batch_size': 4, 'epochs': 9, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0005765154025647296, 'optim__momentum': 0.015746879498767036})",0.3154006653651263,0.0027736295083475,stl10,32,
"OrderedDict({'batch_size': 8, 'epochs': 14, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.016944524387171356, 'optim__momentum': 0.7268590983454469})",0.3068022649971806,0.0096517376848668,stl10,32,
"OrderedDict({'batch_size': 16, 'epochs': 23, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.03712210580130133, 'optim__momentum': 0.4433635845515093})",0.2022142990369513,0.0519594372079832,stl10,32,
"OrderedDict({'batch_size': 8, 'epochs': 4, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0010626275611872397, 'optim__momentum': 0.6356538645144051})",0.1643952121940557,0.0217858516144362,stl10,32,
"OrderedDict({'batch_size': 16, 'epochs': 2, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.00029035450415979637, 'optim__momentum': 0.9546549703755386})",0.1035993281535769,0.0052243237648784,stl10,32,
"OrderedDict({'batch_size': 4, 'epochs': 26, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0014533864604987937, 'optim__momentum': 0.99})",0.4112020333028232,0.0194963488903325,stl10,32,6.0
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.1, 'optim__momentum': 0.99})",0.3938034721987175,0.0136105925411198,stl10,32,6.0
"OrderedDict({'batch_size': 4, 'epochs': 24, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.01086841549890779, 'optim__momentum': 0.8375056735432814})",0.3910021117025095,0.0092070343264517,stl10,32,6.0
"OrderedDict({'batch_size': 4, 'epochs': 29, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.00030785590359397053, 'optim__momentum': 0.7649974872865359})",0.3854050318387703,0.0182708944419551,stl10,32,6.0
"OrderedDict({'batch_size': 4, 'epochs': 19, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0001, 'optim__momentum': 0.99})",0.3777965895416355,0.0149371762234158,stl10,32,6.0
"OrderedDict({'batch_size': 8, 'epochs': 30, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.00010622714783072373, 'optim__momentum': 0.7023893105287445})",0.3637959082853297,0.0222446034367095,stl10,32,6.0
"OrderedDict({'batch_size': 8, 'epochs': 30, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0001, 'optim__momentum': 0.99})",0.362399188829701,0.0081155350157064,stl10,32,6.0
"OrderedDict({'batch_size': 4, 'epochs': 27, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.004247433106322224, 'optim__momentum': 0.3676936290360493})",0.3580034293261396,0.0192399115104157,stl10,32,6.0
"OrderedDict({'batch_size': 8, 'epochs': 21, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.08743167287239448, 'optim__momentum': 0.12678796975105544})",0.3349985465091856,0.0091675998638248,stl10,32,6.0
"OrderedDict({'batch_size': 16, 'epochs': 30, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.0006898597336625877, 'optim__momentum': 0.8413107156018608})",0.3118009051250974,0.008920364754086,stl10,32,6.0
"OrderedDict({'batch_size': 8, 'epochs': 17, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.000525648155412293, 'optim__momentum': 0.1313821189598853})",0.3008031046851854,0.0169988523281973,stl10,32,6.0
"OrderedDict({'batch_size': 4, 'epochs': 9, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0005765154025647296, 'optim__momentum': 0.015746879498767036})",0.2920011435888092,0.0063512081478428,stl10,32,6.0
"OrderedDict({'batch_size': 8, 'epochs': 14, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.016944524387171356, 'optim__momentum': 0.7268590983454469})",0.2679973008999641,0.0143936726545138,stl10,32,6.0
"OrderedDict({'batch_size': 16, 'epochs': 23, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.03712210580130133, 'optim__momentum': 0.4433635845515093})",0.2532111824933933,0.043390253784605,stl10,32,6.0
"OrderedDict({'batch_size': 8, 'epochs': 4, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0010626275611872397, 'optim__momentum': 0.6356538645144051})",0.1422037321227231,0.0302171083153631,stl10,32,6.0
"OrderedDict({'batch_size': 16, 'epochs': 2, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.0019203485443410593, 'optim__momentum': 0.99})",0.1056022889059643,0.0080962094479518,stl10,32,6.0
"OrderedDict({'batch_size': 4, 'epochs': 20, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.001, 'optim__momentum': 0.8})",0.2576760987357014,0.0078034204676795,mammals,eq_hist,
"OrderedDict({'batch_size': 4, 'epochs': 18, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.01217356274515118, 'optim__momentum': 0.8705674641584338})",0.2554685932169376,0.0081714923024291,mammals,eq_hist,
"OrderedDict({'batch_size': 4, 'epochs': 20, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.0010717218454222796, 'optim__momentum': 0.8170573793978491})",0.2512542644992976,0.0134831041800046,mammals,eq_hist,
"OrderedDict({'batch_size': 4, 'epochs': 20, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.00827006161492832, 'optim__momentum': 0.8})",0.2378085490668272,0.0060405044925917,mammals,eq_hist,
"OrderedDict({'batch_size': 4, 'epochs': 19, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.1, 'optim__momentum': 0.99})",0.2343969496287377,0.0201563387991004,mammals,eq_hist,
"OrderedDict({'batch_size': 4, 'epochs': 16, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.02277425375918386, 'optim__momentum': 0.9607334120941651})",0.231587397150311,0.0110612191687904,mammals,eq_hist,
"OrderedDict({'batch_size': 4, 'epochs': 20, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0021162403504012737, 'optim__momentum': 0.9468176995802443})",0.2283764800321091,0.012448775773045,mammals,eq_hist,
"OrderedDict({'batch_size': 4, 'epochs': 17, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.001, 'optim__momentum': 0.8})",0.2155328115593016,0.0208728908168088,mammals,eq_hist,
